Country;Year;Code;Share of one person households;GDP per Capita (current US$;Population;Marriage rate (per 1.000);Divorce rate (per 1.000)
Austria;2000;;0;;;;
Austria;2001;;0;;;;
Austria;2002;;0;;;;
Austria;2003;AUT;31,6;32294,0488606559;8121423,0;4,6;2,3
Austria;2004;AUT;34,1;36889,2335135194;8171966,0;4,7;2,4000001
Austria;2005;AUT;34,5;38417,4577857677;8227829,0;4,8;2,4000001
Austria;2006;AUT;34,7;40669,3269586152;8268641,0;4,5;2,5
Austria;2007;AUT;35;46915,3374004507;8295487,0;4,3;2,5
Austria;2008;AUT;35,3;51919,9835754226;8321496,0;4,2;2,4000001
Austria;2009;AUT;35,7;48153,3240199631;8343323,0;4,3;2,3
Austria;2010;AUT;36;46903,7615854343;8363404,0;4,5;2,0999999
Austria;2011;AUT;36,2;51442,2762464407;8391643,0;4,3;2,0999999
Austria;2012;AUT;36,5;48564,9173350875;8429991,0;4,6;2
Austria;2013;AUT;36,7;50731,1272541847;8479823,0;4,3;1,9
Austria;2014;AUT;37;51786,3771747905;8546356,0;4,4;1,9
Austria;2015;AUT;37,2;44195,8175947748;8642699,0;5,1;1,9
Austria;2016;AUT;37;45307,5878620429;8736668,0;5,1;1,8
Austria;2017;AUT;37;47429,1584564387;8797566,0;5,1;1,8
Austria;2018;AUT;37,2;51466,5565633634;8840521,0;;
Belgium;2000;;0;;;;
Belgium;2001;;0;;;;
Belgium;2002;;0;;;;
Belgium;2003;BEL;33;30655,2092679024;10376133,0;4;3
Belgium;2004;BEL;32,4;35429,4077933344;10421137,0;4,2;3
Belgium;2005;BEL;33,9;36809,7013403619;10478617,0;4,1;2,9000001
Belgium;2006;BEL;33,5;38705,1067959147;10547958,0;4,2;2,8
Belgium;2007;BEL;34,1;44319,165448813;10625700,0;4,3;2,8
Belgium;2008;BEL;34,8;48303,397956286;10709973,0;4,3;3,3
Belgium;2009;BEL;34,6;44760,2912443709;10796493,0;4;3
Belgium;2010;BEL;34,6;44184,946353964;10895586,0;3,9;2,7
Belgium;2011;BEL;34,9;47410,5669277464;11038264,0;3,7;2,5
Belgium;2012;BEL;34,9;44670,5606845101;11106932,0;3,8;2,3
Belgium;2013;BEL;34,5;46757,9518559598;11159407,0;3,4;2,2
Belgium;2014;BEL;34,3;47764,0715120833;11209057,0;3,6;2,2
Belgium;2015;BEL;34,6;41008,296719472;11274196,0;4;2,2
Belgium;2016;BEL;34,1;42012,6227191016;11331422,0;3,9;2,0999999
Belgium;2017;BEL;34;44198,4823908691;11375158,0;3,9;2
Belgium;2018;BEL;34,7;47544,9811472757;11427054,0;;
Bulgaria;2000;;0;;;;
Bulgaria;2001;;0;;;;
Bulgaria;2002;;0;;;;
Bulgaria;2003;;0;;;;
Bulgaria;2004;;0;;;;
Bulgaria;2005;BGR;18,6;3899,82596332878;7658972,0;4,4;1,9
Bulgaria;2006;BGR;18,6;4523,1465578805;7601022,0;4,3;2
Bulgaria;2007;BGR;21,1;5888,77685220636;7545338,0;3,9;2,2
Bulgaria;2008;BGR;18,4;7271,30338858025;7492561,0;3,7;1,9
Bulgaria;2009;BGR;19,1;6988,27316296465;7444443,0;3,5;1,6
Bulgaria;2010;BGR;19,4;6863,66706774052;7395599,0;3,3;1,5
Bulgaria;2011;BGR;19,9;7857,16706984441;7348328,0;2,9;1,4
Bulgaria;2012;BGR;21,6;7430,7373804242;7305888,0;2,9;1,6
Bulgaria;2013;BGR;22,4;7687,71368243317;7265115,0;3;1,5
Bulgaria;2014;BGR;24,2;7912,27484371138;7223938,0;3,4;1,5
Bulgaria;2015;BGR;28,9;7078,86032298969;7177991,0;3,9;1,5
Bulgaria;2016;BGR;30,6;7570,93165511708;7127822,0;3,8;1,5
Bulgaria;2017;BGR;31;8381,88134621669;7075947,0;4;1,5
Bulgaria;2018;BGR;33,3;9447,65589681469;7025037,0;;
Croatia;2000;;0;;;;
Croatia;2001;;0;;;;
Croatia;2002;;0;;;;
Croatia;2003;;0;;;;
Croatia;2004;;0;;;;
Croatia;2005;;0;;;;
Croatia;2006;;0;;;;
Croatia;2007;;0;;;;
Croatia;2008;;0;;;;
Croatia;2009;;0;;;;
Croatia;2010;HRV;24,6;13697,4521970764;4295427,0;5;1,2
Croatia;2011;HRV;24,6;14664,3690796915;4280622,0;4,7;1,3
Croatia;2012;HRV;24,6;13452,9759027717;4267558,0;4,8;1,3
Croatia;2013;HRV;24,6;14002,2381023542;4255689,0;4,5;1,4
Croatia;2014;HRV;24,6;14035,8597369389;4238389,0;4,6;1,4
Croatia;2015;HRV;24,6;12135,1036186683;4203604,0;4,7;1,4
Croatia;2016;HRV;24,6;12634,3195701712;4174349,0;4,9;1,7
Croatia;2017;HRV;24,3;13655,4798216229;4124531,0;4,9;1,5
Croatia;2018;HRV;24,4;15132,9554012394;4087843,0;;
Cyprus;2000;;0;;;;
Cyprus;2001;;0;;;;
Cyprus;2002;;0;;;;
Cyprus;2003;;0;;;;
Cyprus;2004;;0;;;;
Cyprus;2005;CYP;16;24959,259765625;1037062,0;8;2
Cyprus;2006;CYP;16;26729,32421875;1055438,0;7;2,3
Cyprus;2007;CYP;16;31244,92578125;1073873,0;8,3;2,0999999
Cyprus;2008;CYP;20,8;35397,36328125;1092390,0;7,8;2,0999999
Cyprus;2009;CYP;20,8;32236,53515625;1110974,0;7,8;2,2
Cyprus;2010;CYP;20,8;31105,02734375;1129686,0;7,3;2,3
Cyprus;2011;CYP;20,8;32485,802734375;1145086,0;7,3;2,3
Cyprus;2012;CYP;20,7;28991,9296875;1156556,0;6,7;2,4000001
Cyprus;2013;CYP;20,8;27797,453125;1166968,0;6,4;2,2
Cyprus;2014;CYP;20,8;27244,34375;1176995,0;6,3;2,2
Cyprus;2015;CYP;20,7;23487,21875;1187280,0;7,2;2,0999999
Cyprus;2016;CYP;20,8;24715,142578125;1197881,0;7,5;2,3
Cyprus;2017;CYP;20,8;26697,005859375;1208523,0;6,8;2,2
Cyprus;2018;CYP;20,8;29419,88671875;1218831,0;;
Czechia;2000;;0;;;;
Czechia;2001;;0;;;;
Czechia;2002;;0;;;;
Czechia;2003;;0;;;;
Czechia;2004;;0;;;;
Czechia;2005;CZE;22,8;13430,6698955613;10211216,0;5,1;3,0999999
Czechia;2006;CZE;23,7;15261,7975911138;10238905,0;5,2;3,0999999
Czechia;2007;CZE;23,8;18466,5479299216;10298828,0;5,5;3
Czechia;2008;CZE;24,8;22804,5776774507;10384603,0;5,1;3
Czechia;2009;CZE;24,5;19861,6974295256;10443936,0;4,6;2,8
Czechia;2010;CZE;23,5;19960,0684872157;10474410,0;4,5;2,9000001
Czechia;2011;CZE;23,7;21871,2660754128;10496088,0;4,3;2,7
Czechia;2012;CZE;27,2;19870,8012123403;10510785,0;4,3;2,5
Czechia;2013;CZE;27,8;20133,1691431353;10514272,0;4,1;2,7
Czechia;2014;CZE;27,9;19890,9199056648;10525347,0;4,3;2,5
Czechia;2015;CZE;27,9;17829,6983223668;10546059,0;4,6;2,5
Czechia;2016;CZE;28,4;18575,2320271915;10566332,0;4,8;2,4000001
Czechia;2017;CZE;28,3;20636,199952435;10594438,0;5;2,4000001
Czechia;2018;CZE;28,7;23424,4804601855;10629928,0;;
Denmark;2000;;0;;;;
Denmark;2001;;0;;;;
Denmark;2002;;0;;;;
Denmark;2003;DNK;43,8;40458,7773986609;5390574,0;6,5;2,9000001
Denmark;2004;DNK;43,5;46511,5983324305;5404523,0;7;2,9000001
Denmark;2005;DNK;43,7;48799,8256011275;5419432,0;6,7;2,8
Denmark;2006;DNK;43,9;52026,9995142723;5437272,0;6,7;2,5999999
Denmark;2007;DNK;44,3;58487,0549677696;5461438,0;6,7;2,5999999
Denmark;2008;DNK;45,8;64322,0635020842;5493621,0;6,8;2,7
Denmark;2009;DNK;46,1;58163,2768762815;5523095,0;6;2,7
Denmark;2010;DNK;46,2;58041,3984363385;5547683,0;5,6;2,5999999
Denmark;2011;DNK;44;61753,647131977;5570572,0;4,9;2,5999999
Denmark;2012;DNK;44,2;58507,5080517852;5591572,0;5,1;2,8
Denmark;2013;DNK;45,1;61191,1937042028;5614932,0;4,9;3,4000001
Denmark;2014;DNK;45;62548,9847332908;5643475,0;5;3,4000001
Denmark;2015;DNK;45;53254,8563700916;5683483,0;5,1;2,9000001
Denmark;2016;DNK;44,8;54663,9983719195;5728010,0;5,4;3
Denmark;2017;DNK;43,4;57610,0981801135;5764980,0;5,5;2,5999999
Denmark;2018;DNK;44,1;61591,9288698958;5793636,0;;
Estonia;2000;;0;;;;
Estonia;2001;;0;;;;
Estonia;2002;;0;;;;
Estonia;2003;;0;;;;
Estonia;2004;EST;32;8914,10355674451;1362550,0;4,4;3,0999999
Estonia;2005;EST;31,1;10412,6443137966;1354775,0;4,5;3
Estonia;2006;EST;33,2;12639,4000677296;1346810,0;5,2;2,8
Estonia;2007;EST;33,6;16744,5844516343;1340680,0;5,2;2,8
Estonia;2008;EST;34,4;18204,9664786762;1337090,0;4,6;2,5999999
Estonia;2009;EST;34,2;14711,7352728223;1334515,0;4;2,4000001
Estonia;2010;EST;34,5;14663,0446126465;1331475,0;3,8;2,2
Estonia;2011;EST;34,9;17487,8047830922;1327439,0;4,1;2,3
Estonia;2012;EST;36;17403,2053254767;1322696,0;4,5;2,4000001
Estonia;2013;EST;36;19056,0019226989;1317997,0;4,3;2,5
Estonia;2014;EST;36;20261,0667303886;1314545,0;4,7;2,4000001
Estonia;2015;EST;36,3;17402,0376128079;1315407,0;5,2;2,5999999
Estonia;2016;EST;38;18295,3429322114;1315790,0;4,8;2,5
Estonia;2017;EST;39,7;20437,765376736;1317384,0;4,9;2,5
Estonia;2018;EST;40,3;23165,8494786437;1321977,0;;
Finland;2000;;0;;;;
Finland;2001;;0;;;;
Finland;2002;;0;;;;
Finland;2003;;0;;;;
Finland;2004;FIN;37,9;37772,1781110398;5228172,0;5,6;2,5
Finland;2005;FIN;38,3;39054,8504423825;5246096,0;5,6;2,5999999
Finland;2006;FIN;38,5;41222,6020004611;5266268,0;5,4;2,5
Finland;2007;FIN;38,5;48476,3927287052;5288720,0;5,6;2,5
Finland;2008;FIN;39,2;53772,7942390019;5313399,0;5,8;2,5
Finland;2009;FIN;39,8;47481,4845364339;5338871,0;5,6;2,5
Finland;2010;FIN;39,5;46505,3031791811;5363352,0;5,6;2,5
Finland;2011;FIN;40,1;51148,9316365833;5388272,0;5,3;2,5
Finland;2012;FIN;40,2;47708,0612784469;5413971,0;5,3;2,4000001
Finland;2013;FIN;40,3;49892,2233632732;5438972,0;4,6;2,5
Finland;2014;FIN;40,8;50327,2402902632;5461512,0;4,5;2,5
Finland;2015;FIN;40,9;42801,9081167285;5479531,0;4,5;2,5
Finland;2016;FIN;41,3;43814,0265056965;5495303,0;4,5;2,5
Finland;2017;FIN;41,6;46412,1364777169;5508214,0;4,8;2,4000001
Finland;2018;FIN;43;49987,6261584968;5515525,0;;
France;2000;;0;;;;
France;2001;;0;;;;
France;2002;;0;;;;
France;2003;;0;;;;
France;2004;FRA;32,8;33797,1624418436;62716306,0;4,5;2,2
France;2005;FRA;31,4;34768,1759037525;63188395,0;4,5;2,5
France;2006;FRA;31,2;36470,2128399313;63628261,0;4,3;2,2
France;2007;FRA;33,9;41557,6235648179;64021737,0;4,3;2,0999999
France;2008;FRA;34,6;45515,9617533473;64379696,0;4,1;2,0999999
France;2009;FRA;34,4;41737,7635518137;64710879,0;3,9;2
France;2010;FRA;35,3;40676,0647913181;65030575,0;3,9;2,0999999
France;2011;FRA;34,2;43846,4660764798;65345233,0;3,6;2
France;2012;FRA;34,7;40870,8523645734;65662240,0;3,7;2
France;2013;FRA;35,2;42602,7179652667;66002289,0;3,6;1,9
France;2014;FRA;35,4;43068,5487241739;66312067,0;3,6;1,9
France;2015;FRA;35,9;36652,9223052178;66548272,0;3,6;1,9
France;2016;FRA;35,7;37062,5335723829;66724104,0;3,5;1,9
France;2017;FRA;36;38781,0494870836;66918020,0;3,5;
France;2018;FRA;36,2;41557,8548588876;67158348,0;;
Germany;2000;;0;;;;
Germany;2001;;0;;;;
Germany;2002;;0;;;;
Germany;2003;;0;;;;
Germany;2004;;0;;;;
Germany;2005;DEU;37,1;34520,2396492496;82469422,0;4,7;2,4000001
Germany;2006;DEU;38,1;36353,8803343631;82376451,0;4,5;2,3
Germany;2007;DEU;38,4;41640,0808695147;82266372,0;4,5;2,3
Germany;2008;DEU;39,1;45612,7106221441;82110097,0;4,6;2,3
Germany;2009;DEU;39,5;41650,3678297162;81902307,0;4,6;2,3
Germany;2010;DEU;39,8;41572,4559481507;81776930,0;4,7;2,3
Germany;2011;DEU;40,1;46705,8957963353;80274983,0;4,6;2,3
Germany;2012;DEU;40,2;43855,8544658618;80425823,0;4,8;2,2
Germany;2013;DEU;40,2;46298,9229177341;80645605,0;4,6;2,0999999
Germany;2014;DEU;40,5;48023,8699845462;80982500,0;4,8;2,0999999
Germany;2015;DEU;41,2;41103,2564363768;81686611,0;4,9;2
Germany;2016;DEU;40,8;42136,1207907991;82348669,0;5;2
Germany;2017;DEU;41,5;44652,5891722719;82657002,0;4,9;1,9
Germany;2018;DEU;41,7;47939,2782884504;82905782,0;;
Greece;2000;;0;;;;
Greece;2001;;0;;;;
Greece;2002;;0;;;;
Greece;2003;GRC;19,7;18518,3788387396;10928070,0;5,5;1,1
Greece;2004;GRC;19,7;21995,477943746;10955141,0;4,6;1,1
Greece;2005;GRC;19,8;22560,1472939077;10987314,0;5,5;1,2
Greece;2006;GRC;19,8;24821,9367451879;11020362,0;5,2;1,2
Greece;2007;GRC;20;28863,9732885018;11048473,0;5,5;1,2
Greece;2008;GRC;20,1;32127,9831943287;11077841,0;4,8;1,2
Greece;2009;GRC;20,2;29828,7560245271;11107017,0;5,3;1,2
Greece;2010;GRC;20,3;26716,6488260274;11121341,0;5,1;1,2
Greece;2011;GRC;20,4;25483,8825644931;11104899,0;5;1,1
Greece;2012;GRC;20,6;21912,9982879517;11045011,0;4,5;1,3
Greece;2013;GRC;25,7;21787,7877636035;10965211,0;4,7;1,5
Greece;2014;GRC;25,7;21616,7100094908;10892413,0;4,9;1,3
Greece;2015;GRC;25,7;18083,8779056547;10820883,0;5;1,4
Greece;2016;GRC;25,7;17923,9668134716;10775971,0;4,6;1
Greece;2017;GRC;25,7;18582,0893411631;10754679,0;4,7;1,8
Greece;2018;GRC;25,7;19756,990456255;10732882,0;;
Hungary;2000;;0;;;;
Hungary;2001;;0;;;;
Hungary;2002;;0;;;;
Hungary;2003;;0;;;;
Hungary;2004;;0;;;;
Hungary;2005;HUN;29;11223,3993032598;10087065,0;4,4;2,5
Hungary;2006;HUN;24,7;11489,5608654088;10071370,0;4,4;2,5
Hungary;2007;HUN;24,4;13940,9092761999;10055780,0;4,1;2,5
Hungary;2008;HUN;24,1;15772,3300839383;10038188,0;4;2,5
Hungary;2009;HUN;24,1;13077,305465178;10022650,0;3,7;2,4000001
Hungary;2010;HUN;23,9;13217,5045951108;10000023,0;3,6;2,4000001
Hungary;2011;HUN;29,9;14234,471576937;9971727,0;3,6;2,3
Hungary;2012;HUN;31;12984,8365730133;9920362,0;3,6;2,2
Hungary;2013;HUN;32;13715,0703590361;9893082,0;3,7;2
Hungary;2014;HUN;32,3;14294,2584180751;9866468,0;3,9;2
Hungary;2015;HUN;33;12717,038597002;9843028,0;4,7;2,0999999
Hungary;2016;HUN;33,8;13104,6995457458;9814023,0;5,3;2
Hungary;2017;HUN;33,8;14621,2395956755;9787966,0;5,2;1,9
Hungary;2018;HUN;33,2;16425,2050299693;9775564,0;;
Italy;2000;;0;;;;
Italy;2001;;0;;;;
Italy;2002;;0;;;;
Italy;2003;;0;;;;
Italy;2004;ITA;26,8;31317,2007943296;57685327,0;4,3;0,80000001
Italy;2005;ITA;27,5;32055,0920757503;57969484,0;4,3;0,80000001
Italy;2006;ITA;27,9;33529,7266014361;58143979,0;4,2;0,89999998
Italy;2007;ITA;28,7;37870,7475070969;58438310,0;4,3;0,89999998
Italy;2008;ITA;29,3;40944,9124194678;58826731,0;4,2;0,89999998
Italy;2009;ITA;29,8;37226,7571935402;59095365,0;3,9;0,89999998
Italy;2010;ITA;30,3;36035,6449950691;59277417,0;3,7;0,89999998
Italy;2011;ITA;30,3;38649,6394836789;59379449,0;3,4;0,89999998
Italy;2012;ITA;31,6;35051,5212697703;59539717,0;3,5;0,89999998
Italy;2013;ITA;32,5;35560,0814062288;60233948,0;3,2;0,89999998
Italy;2014;ITA;32,9;35565,7213771496;60789140,0;3,1;0,89999998
Italy;2015;ITA;32,1;30242,3861352184;60730582,0;3,2;1,4
Italy;2016;ITA;32,4;30960,7315088902;60627498,0;3,4;1,6
Italy;2017;ITA;32,3;32406,7203150134;60536709,0;3,2;1,5
Italy;2018;ITA;32,6;34622,1696664741;60421760,0;;
Latvia;2000;;0;;;;
Latvia;2001;;0;;;;
Latvia;2002;;0;;;;
Latvia;2003;;0;;;;
Latvia;2004;;0;;;;
Latvia;2005;LVA;25,3;7594,90238431362;2238799,0;5,6;2,8
Latvia;2006;LVA;25,3;9723,44690174779;2218357,0;6,6;3,3
Latvia;2007;LVA;26,6;14113,5291277327;2200325,0;7;3,4000001
Latvia;2008;LVA;28,4;16467,1436879405;2177322,0;5,9;2,9000001
Latvia;2009;LVA;29,7;12331,9285524089;2141669,0;4,6;2,4000001
Latvia;2010;LVA;29,3;11420,9940032836;2097555,0;4,4;2,4000001
Latvia;2011;LVA;30,9;13338,9622350852;2059709,0;5,2;4
